State,County,BlackPerc
MI,Eaton County,7
TX,Howard County,7
VA,Bedford County,7
TX,Caldwell County,7
CA,Riverside County,7
TX,Lavaca County,7
CO,El Paso County,7
TN,Wilson County,6.9
MA,Norfolk County,6.9
TX,Victoria County,6.9
VA,Greene County,6.9
MD,Queen Anne's County,6.9
MI,Alger County,6.9
TX,Fayette County,6.9
MO,Audrain County,6.9
MI,Chippewa County,6.9
KS,Riley County,6.9
TX,Hill County,6.9
TN,Marshall County,6.9
CT,New London County,6.9
SC,Pickens County,6.9
NC,Burke County,6.8
WV,Jefferson County,6.8
NJ,Bergen County,6.8
AR,Sebastian County,6.8
NY,Oneida County,6.8
NY,Chemung County,6.8
NY,Ulster County,6.8
MD,Cecil County,6.8
TX,Williamson County,6.8
MS,Itawamba County,6.8
FL,Holmes County,6.8
TX,Midland County,6.8
KY,Logan County,6.7
WA,King County,6.7
NY,Orleans County,6.7
IL,Kendall County,6.7
KY,Hopkins County,6.7
TX,Refugio County,6.7
PA,Berks County,6.7
IL,Pope County,6.7
TX,Henderson County,6.7
IA,Polk County,6.7
FL,Santa Rosa County,6.6
OH,Madison County,6.6
KY,Mason County,6.6
FL,Monroe County,6.6
AR,Saline County,6.6
NY,Jefferson County,6.6
GA,Cherokee County,6.6
VA,Norton,6.6
TX,Dawson County,6.6
IL,Bond County,6.5
FL,Nassau County,6.5
PA,York County,6.5
NY,Greene County,6.5
NC,Davie County,6.5
NC,Buncombe County,6.5
IL,Morgan County,6.4
PA,Chester County,6.4
AL,Walker County,6.4
PA,Beaver County,6.4
OH,Marion County,6.4
NY,Franklin County,6.4
MO,Platte County,6.4
KY,Bourbon County,6.3
LA,Livingston Parish,6.3
PA,Northampton County,6.3
MA,Essex County,6.3
PA,Pike County,6.3
CA,Kern County,6.3
WV,Mercer County,6.3
KY,Washington County,6.3
AK,Anchorage Municipality,6.3
NC,Randolph County,6.3
FL,Charlotte County,6.2
TX,Grayson County,6.2
NC,Carteret County,6.2
IN,Elkhart County,6.2
NE,Johnson County,6.2
AR,Lonoke County,6.2
NC,Currituck County,6.1
IL,Kane County,6.1
TX,Rockwall County,6.1
TN,Wayne County,6.1
TX,Knox County,6.1
