County,PercentageArmedShootings,PercentageArmedUnknownShootings,PercentageBodyCamOff,PercentageArmedGun,HispanicDemog,HispanicShooting,BlackShooting,BlackDemog,WhiteShooting,WhiteDemog
Douglas County,2,1,1,1,0,515,0,183,2,35502
Douglas County,10,6,3,9,0,65189,5,63016,7,385159
Douglas County,1,1,0,1,0,5799,0,427,1,38646
Douglas County,0,0,0,1,0,5562,0,427,1,94884
Douglas County,0,0,0,1,0,12100,0,318,1,26191
Doña Ana County,14,10,3,12,10,142735,0,4700,4,61538
DuPage County,3,0,0,3,1,131511,1,48500,0,635174
Duchesne County,1,1,1,0,0,1650,0,122,1,17363
Duplin County,1,0,0,1,0,12934,0,15569,1,31018
Durham County,6,5,2,4,0,39457,5,113661,1,124262
Dutchess County,2,0,0,2,1,34403,0,32920,1,215612
Duval County,31,20,6,28,4,77202,18,270207,12,493733
Dyer County,1,1,0,1,0,1175,0,5538,1,30461
Eagle County,1,1,0,1,0,15876,1,529,0,35509
East Baton Rouge Parish County,9,8,4,9,0,17395,12,206071,0,203841
East Feliciana Parish County,1,1,0,2,0,277,2,8737,0,10441
Eastland County,1,1,0,1,1,2908,0,454,0,14468
Eaton County,0,0,0,1,0,5754,0,7600,1,90772
Eau Claire County,5,1,0,6,0,2335,0,1015,6,92423
Ector County,10,9,0,11,4,88494,0,7541,6,55405
Eddy County,4,4,0,5,2,26167,0,1071,2,27971
Edgecombe County,2,1,0,2,1,2307,1,31696,0,20325
Effingham County,1,1,0,2,0,2050,0,7759,2,44116
El Dorado County,1,1,0,2,0,23252,1,1830,1,144089
El Paso County,20,15,3,17,4,108153,3,46446,13,466453
El Paso County,18,13,0,20,8,676791,2,33339,5,110853
Elbert County,0,0,0,1,1,1069,0,5714,0,12382
Elkhart County,3,3,0,3,1,30497,2,12522,0,153295
Elko County,3,2,1,2,0,12769,0,791,3,35405
Ellis County,0,0,0,2,0,1653,0,290,2,26198
Ellis County,3,3,0,3,1,39988,1,15453,1,101006
Elmore County,3,3,0,3,0,2186,3,17167,0,59680
Elmore County,3,1,0,3,0,4227,0,835,2,19335
Emery County,1,1,0,1,0,669,0,53,1,9716
Emporia County,1,1,0,1,0,300,1,3479,0,1594
Erie County,4,3,1,3,2,47064,1,128274,1,705045
Erie County,1,1,0,2,0,10580,0,21161,1,238068
Escambia County,1,1,0,1,0,792,1,12225,0,22866
Escambia County,8,6,0,8,0,17086,4,70830,1,203481
Essex County,5,3,0,7,1,143050,1,48452,5,563743
Essex County,9,6,1,11,0,175854,11,333407,0,256222
Etowah County,2,2,0,2,0,3830,0,16047,1,81168
Evangeline Parish County,1,1,0,2,0,842,1,9570,1,22814
Evans County,1,0,0,1,0,1307,1,3400,0,6124
Fairbanks North Star Borough County,12,11,2,10,0,7650,0,5365,7,70841
Fairfax County,1,0,0,2,0,190620,0,115075,1,605915
Fairfield County,4,0,1,4,1,176796,1,115343,3,603189
Fairfield County,1,0,1,0,0,3158,0,10677,1,131733
Falls Church County,1,0,0,1,1,1292,0,720,0,9833
Fayette County,3,3,0,3,0,7786,1,24126,2,71281
Fayette County,2,2,0,2,0,547,1,720,1,26841
Fayette County,2,2,0,2,0,1474,0,6436,2,123761
Fayette County,3,1,0,3,0,975,1,10728,2,26683
Fayette County,2,1,0,2,0,496,0,2121,1,41747
Fentress County,1,0,0,1,0,232,0,71,1,17301
Fergus County,1,1,0,1,0,274,0,57,1,10744
Fillmore County,1,0,0,1,0,249,0,83,1,20194
Finney County,1,0,0,1,1,17922,0,1227,0,16249
Flathead County,3,2,0,3,0,2562,0,379,3,88279
Florence County,4,4,0,4,0,3341,3,58755,1,73653
Floyd County,2,2,0,2,0,9894,0,14217,2,69453
Floyd County,1,1,0,1,0,2209,0,4189,1,67570
Foard County,0,0,0,1,0,238,0,67,1,946
Fond du Lac County,1,1,0,1,0,4986,0,1628,1,92397
Forest County,1,1,0,2,0,182,0,91,1,7347
Forrest County,3,2,0,4,0,2442,3,28242,1,43889
Forsyth County,3,2,0,3,0,19817,0,7150,3,156086
Forsyth County,2,2,0,2,0,46027,2,98995,0,210776
Fort Bend County,5,4,0,5,0,164482,3,144607,2,240556
Franklin Parish County,0,0,0,1,0,286,0,6541,1,13388
Franklin County,2,1,0,2,0,534,0,160,2,16469
Franklin County,1,1,0,1,0,957,0,2137,0,18657
Franklin County,1,0,0,1,1,898,0,39,0,11862
Franklin County,1,1,0,1,1,630,0,197,0,37873
Franklin County,1,1,0,1,0,252,0,91,1,22268
Franklin County,1,1,0,2,0,1735,0,1020,2,97286
Franklin County,1,1,0,1,0,5028,0,16846,1,39916
Franklin County,1,1,0,1,0,1691,0,3280,1,41829
Franklin County,34,24,2,35,0,62801,24,273369,11,809025
Franklin County,1,0,0,1,0,7644,0,5962,0,136073
Franklin County,3,1,1,2,0,1159,0,2152,3,36930
Franklin County,3,2,0,4,3,45572,1,2458,0,36967
Frederick County,3,2,0,3,1,20468,1,22905,1,184461
Fredericksburg County,0,0,1,0,0,3090,0,6832,1,17010
Freeborn County,1,0,0,1,0,2929,0,339,1,26830
Freestone County,0,0,0,2,1,2924,0,3260,0,13299
Fremont County,1,0,0,1,0,2727,0,284,0,28614
Fresno County,23,7,13,14,16,501340,1,56992,9,298485
Frio County,1,1,1,0,1,14417,0,722,0,3002
Fulton County,27,14,2,29,3,75720,26,441369,1,403509
Fulton County,1,0,0,1,0,972,0,1404,1,33198
Fulton County,1,0,0,1,0,93,0,1522,1,4466
Fulton County,1,1,0,1,0,1514,0,1082,1,50479
Fulton County,1,1,0,1,0,175,0,175,1,14105
Gadsden County,0,0,0,1,0,4859,0,25547,0,15365
Gaines County,1,0,0,1,0,7672,0,427,1,11149
Gallatin County,2,2,0,2,0,3016,0,389,2,89912
Galveston County,9,3,2,8,2,74464,1,42730,7,182549
Garfield County,3,2,0,3,0,16146,0,689,3,39533
Garfield County,1,0,0,1,0,7192,0,2145,1,48138
Garland County,1,1,0,1,0,5158,0,8272,1,80679
Garrard County,1,1,0,1,0,387,0,370,1,15863
Gaston County,6,5,0,7,0,13512,2,33991,5,157500
Geary County,1,1,0,1,0,5506,0,6902,1,21330
Genesee County,2,2,0,3,0,13212,2,85056,1,299761
Genesee County,1,1,1,0,0,1774,0,1893,1,53778
George County,0,0,0,1,0,512,0,1980,1,20460
Gibson County,1,1,0,1,0,540,0,708,1,31767
Gibson County,1,0,0,2,0,1236,0,9201,2,38241
Gila County,2,0,0,2,0,9986,0,478,1,33571
Giles County,1,0,0,1,0,269,0,269,1,16007
Gladwin County,1,1,0,1,0,330,0,127,1,24521
Gloucester County,2,1,0,2,0,16584,2,31422,0,231015
Glynn County,1,1,0,1,0,5341,1,21776,0,52674
Gonzales County,1,1,0,1,0,10108,1,1555,0,8778
Goochland County,1,1,0,1,0,526,1,3882,0,16956
Gooding County,2,2,0,2,0,4308,0,75,2,10333
Gordon County,1,1,0,1,0,8519,1,2466,0,43828
Grady County,4,2,2,3,1,2854,0,1400,3,44214
Grafton County,1,0,2,1,0,1972,0,986,2,81768
